product_id,product_name,category,brand,manufacturing_country,market_region,transport_mode,distance_km,unit_weight_kg,material_1,material_share_1,material_2,material_share_2,manufacturing_energy_kwh,packaging_type,recycled_content_pct,certification,price_usd,co2e_total_kg,co2e_material_kg,co2e_manufacturing_kg,co2e_transport_kg,co2e_packaging_kg,climate_score,destination_country,distance_km_raw
P0091,RunNova Sneakers,sneakers,RunNova,vietnam,europe_west,ship,9329.0,0.762,rubber,0.693,leather,0.307,2.9,cardboard_box,16.5,fsc,46.73,9.916,5.252,3.495,0.109,0.25,D,germany,9500
P0092,TerraBook Laptop,laptop,TerraBook,south_korea,southeast_asia,truck,4622.0,1.906,recycled_plastic_pet,0.851,steel,0.149,9.69,cardboard_box,35.0,none,1313.81,9.138,3.411,5.757,0.503,0.25,A,singapore,2200
P0093,BlueRiver Jeans,jeans,BlueRiver,india,europe_west,ship,6540.0,0.769,cotton,0.877,organic_cotton,0.123,2.74,cardboard_box,30.5,none,71.89,5.72,1.568,3.918,0.081,0.25,E,germany,7000
P0094,EcoSole Sneakers,sneakers,EcoSole,mexico,usa_east,ship,1840.0,0.755,leather,0.72,polyester,0.28,2.62,cardboard_box,12.8,fsc,141.11,12.128,9.317,2.553,0.036,0.25,D,usa,3200
P0095,ZenPhone Smartphone,smartphone,ZenPhone,south_korea,india,ship,4915.0,0.21,plastic_pet,0.664,silicon_chip,0.336,4.03,recycled_cardboard_box,19.5,bluesign,1182.88,6.937,3.552,3.154,0.015,0.16,C,india,4700
P0096,StoneWash Jeans,jeans,StoneWash,india,usa_east,ship,13026.0,0.625,organic_cotton,0.742,cotton,0.258,2.04,recycled_cardboard_box,0.0,none,118.81,5.123,1.081,3.428,0.131,0.16,D,usa,14000
P0097,TerraBook Laptop,laptop,TerraBook,china,india,truck,2842.0,1.313,lithium_ion_battery,0.794,steel,0.206,12.67,recycled_cardboard_box,20.2,energy_star,1506.53,23.753,13.132,10.055,0.599,0.16,D,india,3800
P0098,BlueRiver Jeans,jeans,BlueRiver,india,usa_west,ship,13026.0,0.801,cotton,0.699,organic_cotton,0.301,1.5,cardboard_box,25.4,none,85.2,4.689,1.562,3.05,0.156,0.25,C,usa,13000
P0099,TerraMobile Smartphone,smartphone,TerraMobile,taiwan,usa_east,ship,11847.0,0.14,lithium_ion_battery,0.726,recycled_aluminum,0.274,3.35,cardboard_box,39.4,fair_trade,423.94,4.549,1.411,3.275,0.026,0.25,B,usa,12500
P0100,StoneWash Jeans,jeans,StoneWash,india,usa_west,ship,13026.0,0.559,cotton,0.854,organic_cotton,0.146,2.17,cardboard_box,19.9,none,65.66,4.971,1.133,3.519,0.109,0.25,D,usa,13000
P0101,HydroPop Water Bottle,water_bottle,HydroPop,mexico,southeast_asia,ship,16035.0,0.048,recycled_plastic_pet,1.0,,0.0,0.3,plastic_wrap,27.4,energy_star,5.51,1.856,0.082,1.532,0.01,0.18,C,singapore,14500
P0102,SkyCompute Laptop,laptop,SkyCompute,china,southeast_asia,ship,3842.0,1.493,lithium_ion_battery,0.817,plastic_pet,0.183,9.86,recycled_cardboard_box,39.9,bluesign,650.28,25.305,15.375,8.313,0.056,0.16,D,singapore,2500
P0103,DenimForge Jeans,jeans,DenimForge,turkey,usa_east,ship,10074.0,0.878,cotton,0.707,organic_cotton,0.293,1.92,recycled_cardboard_box,34.8,none,67.18,4.457,1.715,2.287,0.132,0.16,C,usa,10000
P0104,EcoSole Sneakers,sneakers,EcoSole,vietnam,usa_west,ship,13407.0,0.741,recycled_polyester,0.813,rubber,0.187,3.03,recycled_cardboard_box,44.0,none,57.49,5.622,2.265,3.566,0.133,0.16,A,usa,12000
P0105,GreenLoop T Shirt,t_shirt,GreenLoop,china,usa_west,ship,11280.0,0.164,organic_cotton,0.613,cotton,0.387,0.95,cardboard_box,0.0,bluesign,32.34,3.476,0.294,2.789,0.026,0.25,D,usa,10500
P0106,DenimForge Jeans,jeans,DenimForge,china,europe_west,air,7223.0,0.887,organic_cotton,0.716,cotton,0.284,1.72,cardboard_box,13.0,none,116.97,13.046,1.545,3.266,8.515,0.25,F,germany,8000
P0107,PureSip Water Bottle,water_bottle,PureSip,mexico,india,ship,14831.0,0.076,plastic_pet,1.0,,0.0,0.47,cardboard_box,9.5,none,2.2,2.243,0.205,1.607,0.017,0.25,D,india,15000
P0108,StoneWash Jeans,jeans,StoneWash,india,usa_east,ship,13026.0,0.799,organic_cotton,0.613,cotton,0.387,1.72,cardboard_box,28.6,energy_star,119.57,4.966,1.433,3.204,0.168,0.25,D,usa,14000
P0109,PulseTech Laptop,laptop,PulseTech,taiwan,india,ship,4303.0,1.396,steel,0.703,aluminum,0.297,10.26,recycled_cardboard_box,42.7,none,1298.36,13.779,7.025,6.73,0.09,0.16,B,india,4300
P0110,RunNova Sneakers,sneakers,RunNova,mexico,usa_west,truck,1840.0,0.761,polyester,0.684,leather,0.316,3.3,plastic_wrap,26.1,none,109.31,9.386,6.47,2.852,0.201,0.18,D,usa,2200
P0111,LeafCell Smartphone,smartphone,LeafCell,vietnam,europe_west,ship,9329.0,0.228,recycled_aluminum,0.765,glass,0.235,3.19,recycled_cardboard_box,16.4,none,265.62,5.069,0.936,3.654,0.032,0.16,B,germany,9500
P0112,StepWise Sneakers,sneakers,StepWise,china,india,ship,2842.0,1.066,rubber,0.771,polyester,0.229,3.3,plastic_wrap,23.5,none,157.03,8.492,4.055,4.246,0.061,0.18,C,india,3800
P0113,DenimForge Jeans,jeans,DenimForge,turkey,europe_west,ship,2354.0,0.682,organic_cotton,0.758,cotton,0.242,1.91,plastic_wrap,28.7,none,104.41,4.27,1.174,2.283,0.026,0.18,B,germany,2500
P0114,StepWise Sneakers,sneakers,StepWise,china,europe_west,ship,7223.0,0.924,polyester,0.78,rubber,0.22,3.1,cardboard_box,66.4,bluesign,137.21,9.765,4.635,4.122,0.111,0.25,D,germany,8000
P0115,TerraMobile Smartphone,smartphone,TerraMobile,south_korea,usa_east,ship,10295.0,0.183,silicon_chip,0.64,aluminum,0.36,6.47,recycled_cardboard_box,33.9,none,1068.7,9.769,6.028,4.276,0.033,0.16,E,usa,12000
P0116,LeafCell Smartphone,smartphone,LeafCell,taiwan,usa_west,air,11847.0,0.241,silicon_chip,0.692,recycled_aluminum,0.308,4.97,cardboard_box,43.3,gots,1025.4,15.374,7.876,4.085,3.181,0.25,F,usa,11000
