product_id,manufacturing_country,market_region,transport_mode,distance_km,alt_transport_low_carbon,alt_transport_low_carbon_note,alt_distance_km,destination_country,distance_km_raw,alt_distance_km_raw
P0035,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0036,bangladesh,usa_east,ship,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,14500,14500
P0037,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0038,turkey,india,air,4460.0,ship,Suggested lower-carbon mode (rule-based),4460.0,india,4500,4500
P0039,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0040,vietnam,usa_east,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,13500,13500
P0041,bangladesh,usa_east,air,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,14500,14500
P0042,taiwan,usa_east,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0043,usa,southeast_asia,ship,14903.0,ship,Suggested lower-carbon mode (rule-based),14903.0,singapore,12500,12500
P0044,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0045,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0046,mexico,usa_east,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0047,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0048,china,india,ship,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0049,vietnam,india,air,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0050,china,usa_east,air,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0051,turkey,india,ship,4460.0,ship,Suggested lower-carbon mode (rule-based),4460.0,india,4500,4500
P0052,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0053,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0054,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0055,vietnam,usa_east,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,13500,13500
P0056,taiwan,europe_west,ship,9296.0,ship,Suggested lower-carbon mode (rule-based),9296.0,germany,9500,9500
P0057,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0058,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0059,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0060,mexico,usa_west,rail,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0061,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0062,vietnam,usa_east,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,13500,13500
P0063,taiwan,southeast_asia,truck,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0064,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0065,south_korea,usa_west,air,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,10500,10500
P0066,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0067,taiwan,southeast_asia,truck,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0068,mexico,usa_east,air,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0069,taiwan,india,truck,4303.0,rail,Suggested lower-carbon mode (rule-based),4303.0,india,4300,4300
P0070,taiwan,southeast_asia,truck,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0071,india,usa_west,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,13000,13000
P0072,south_korea,india,ship,4915.0,ship,Suggested lower-carbon mode (rule-based),4915.0,india,4700,4700
P0073,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0074,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0075,china,usa_east,air,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0076,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0077,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0078,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0079,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0080,usa,india,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,india,13000,13000
P0081,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0082,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0083,usa,usa_west,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,usa,1200,1200
P0084,taiwan,usa_east,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0085,china,southeast_asia,air,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0086,taiwan,southeast_asia,truck,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0087,mexico,europe_west,ship,9448.0,ship,Suggested lower-carbon mode (rule-based),9448.0,germany,9000,9000
P0088,usa,usa_west,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,usa,1200,1200
P0089,mexico,usa_west,rail,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0090,turkey,usa_east,ship,10074.0,ship,Suggested lower-carbon mode (rule-based),10074.0,usa,10000,10000
P0091,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0092,south_korea,southeast_asia,truck,4622.0,rail,Suggested lower-carbon mode (rule-based),4622.0,singapore,2200,2200
P0093,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0094,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0095,south_korea,india,ship,4915.0,ship,Suggested lower-carbon mode (rule-based),4915.0,india,4700,4700
P0096,india,usa_east,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,14000,14000
P0097,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0098,india,usa_west,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,13000,13000
P0099,taiwan,usa_east,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0100,india,usa_west,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,13000,13000
P0101,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0102,china,southeast_asia,ship,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0103,turkey,usa_east,ship,10074.0,ship,Suggested lower-carbon mode (rule-based),10074.0,usa,10000,10000
P0104,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0105,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0106,china,europe_west,air,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0107,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0108,india,usa_east,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,14000,14000
P0109,taiwan,india,ship,4303.0,ship,Suggested lower-carbon mode (rule-based),4303.0,india,4300,4300
P0110,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0111,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0112,china,india,ship,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0113,turkey,europe_west,ship,2354.0,ship,Suggested lower-carbon mode (rule-based),2354.0,germany,2500,2500
P0114,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0115,south_korea,usa_east,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,12000,12000
P0116,taiwan,usa_west,air,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,11000,11000
P0117,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0118,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0119,india,india,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,india,800,800
P0120,mexico,europe_west,ship,9448.0,ship,Suggested lower-carbon mode (rule-based),9448.0,germany,9000,9000
P0121,mexico,usa_west,rail,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0122,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0123,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0124,vietnam,usa_west,air,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0125,bangladesh,usa_west,ship,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,13500,13500
P0126,india,usa_west,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,13000,13000
P0127,mexico,usa_east,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0128,south_korea,india,ship,4915.0,ship,Suggested lower-carbon mode (rule-based),4915.0,india,4700,4700
P0129,china,southeast_asia,ship,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0130,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0131,bangladesh,usa_east,air,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,14500,14500
P0132,bangladesh,europe_west,ship,7289.0,ship,Suggested lower-carbon mode (rule-based),7289.0,germany,7600,7600
P0133,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0134,china,southeast_asia,air,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0135,bangladesh,europe_west,ship,7289.0,ship,Suggested lower-carbon mode (rule-based),7289.0,germany,7600,7600
P0136,usa,usa_west,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,usa,1200,1200
P0137,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0138,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0139,vietnam,usa_east,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,13500,13500
P0140,bangladesh,usa_east,ship,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,14500,14500
P0141,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0142,india,india,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,india,800,800
P0143,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0144,south_korea,usa_west,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,10500,10500
P0145,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0146,usa,usa_east,ship,0.0,ship,Suggested lower-carbon mode (rule-based),0.0,usa,2500,2500
P0147,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0148,india,southeast_asia,air,3624.0,ship,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0149,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0150,india,usa_east,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,14000,14000
P0151,usa,europe_west,ship,7783.0,ship,Suggested lower-carbon mode (rule-based),7783.0,germany,6500,6500
P0152,usa,usa_west,truck,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,usa,1200,1200
P0153,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0154,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0155,india,southeast_asia,truck,3624.0,rail,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0156,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0157,taiwan,usa_east,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0158,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0159,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0160,taiwan,usa_west,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,11000,11000
P0161,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0162,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0163,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0164,india,usa_east,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,14000,14000
P0165,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0166,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0167,china,india,air,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0168,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0169,china,southeast_asia,truck,3842.0,rail,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0170,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0171,taiwan,europe_west,ship,9296.0,ship,Suggested lower-carbon mode (rule-based),9296.0,germany,9500,9500
P0172,vietnam,southeast_asia,truck,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0173,taiwan,southeast_asia,rail,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0174,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0175,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0176,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0177,usa,india,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,india,13000,13000
P0178,china,southeast_asia,ship,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0179,turkey,europe_west,ship,2354.0,ship,Suggested lower-carbon mode (rule-based),2354.0,germany,2500,2500
P0180,mexico,usa_west,rail,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0181,china,india,ship,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0182,china,europe_west,ship,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0183,taiwan,usa_east,air,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,12500,12500
P0184,usa,india,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,india,13000,13000
P0185,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0186,usa,usa_west,rail,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,usa,1200,1200
P0187,mexico,europe_west,ship,9448.0,ship,Suggested lower-carbon mode (rule-based),9448.0,germany,9000,9000
P0188,taiwan,usa_west,ship,11847.0,ship,Suggested lower-carbon mode (rule-based),11847.0,usa,11000,11000
P0189,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0190,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0191,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0192,vietnam,india,truck,3266.0,rail,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0193,vietnam,southeast_asia,rail,1502.0,rail,Suggested lower-carbon mode (rule-based),1502.0,singapore,1800,1800
P0194,south_korea,usa_west,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,10500,10500
P0195,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0196,china,southeast_asia,truck,3842.0,rail,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0197,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0198,turkey,usa_west,ship,10074.0,ship,Suggested lower-carbon mode (rule-based),10074.0,usa,11000,11000
P0199,taiwan,southeast_asia,truck,3100.0,rail,Suggested lower-carbon mode (rule-based),3100.0,singapore,1900,1900
P0200,india,usa_east,ship,13026.0,ship,Suggested lower-carbon mode (rule-based),13026.0,usa,14000,14000
P0201,china,europe_west,air,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0202,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0203,vietnam,usa_east,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,13500,13500
P0204,china,india,ship,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0205,south_korea,usa_east,air,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,12000,12000
P0206,india,india,rail,0.0,rail,Suggested lower-carbon mode (rule-based),0.0,india,800,800
P0207,bangladesh,europe_west,air,7289.0,ship,Suggested lower-carbon mode (rule-based),7289.0,germany,7600,7600
P0208,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0209,bangladesh,usa_east,ship,12894.0,ship,Suggested lower-carbon mode (rule-based),12894.0,usa,14500,14500
P0210,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0211,china,india,ship,2842.0,ship,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0212,china,europe_west,air,7223.0,ship,Suggested lower-carbon mode (rule-based),7223.0,germany,8000,8000
P0213,mexico,usa_west,truck,1840.0,rail,Suggested lower-carbon mode (rule-based),1840.0,usa,2200,2200
P0214,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0215,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0216,india,southeast_asia,ship,3624.0,ship,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0217,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0218,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0219,china,usa_west,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,10500,10500
P0220,turkey,southeast_asia,air,8078.0,ship,Suggested lower-carbon mode (rule-based),8078.0,singapore,7500,7500
P0221,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0222,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0223,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0224,south_korea,europe_west,ship,8517.0,ship,Suggested lower-carbon mode (rule-based),8517.0,germany,8800,8800
P0225,mexico,usa_east,ship,1840.0,ship,Suggested lower-carbon mode (rule-based),1840.0,usa,3200,3200
P0226,usa,southeast_asia,ship,14903.0,ship,Suggested lower-carbon mode (rule-based),14903.0,singapore,12500,12500
P0227,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0228,china,usa_east,air,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0229,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0230,south_korea,india,ship,4915.0,ship,Suggested lower-carbon mode (rule-based),4915.0,india,4700,4700
P0231,china,southeast_asia,truck,3842.0,rail,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
P0232,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0233,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0234,south_korea,usa_east,ship,10295.0,ship,Suggested lower-carbon mode (rule-based),10295.0,usa,12000,12000
P0235,india,southeast_asia,truck,3624.0,rail,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0236,china,india,truck,2842.0,rail,Suggested lower-carbon mode (rule-based),2842.0,india,3800,3800
P0237,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0238,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0239,bangladesh,india,rail,1186.0,rail,Suggested lower-carbon mode (rule-based),1186.0,india,1200,1200
P0240,india,europe_west,ship,6540.0,ship,Suggested lower-carbon mode (rule-based),6540.0,germany,7000,7000
P0241,india,southeast_asia,ship,3624.0,ship,Suggested lower-carbon mode (rule-based),3624.0,singapore,3000,3000
P0242,bangladesh,europe_west,ship,7289.0,ship,Suggested lower-carbon mode (rule-based),7289.0,germany,7600,7600
P0243,vietnam,india,ship,3266.0,ship,Suggested lower-carbon mode (rule-based),3266.0,india,3200,3200
P0244,vietnam,europe_west,ship,9329.0,ship,Suggested lower-carbon mode (rule-based),9329.0,germany,9500,9500
P0245,turkey,usa_west,ship,10074.0,ship,Suggested lower-carbon mode (rule-based),10074.0,usa,11000,11000
P0246,mexico,southeast_asia,ship,16035.0,ship,Suggested lower-carbon mode (rule-based),16035.0,singapore,14500,14500
P0247,vietnam,usa_west,ship,13407.0,ship,Suggested lower-carbon mode (rule-based),13407.0,usa,12000,12000
P0248,mexico,india,ship,14831.0,ship,Suggested lower-carbon mode (rule-based),14831.0,india,15000,15000
P0249,china,usa_east,ship,11280.0,ship,Suggested lower-carbon mode (rule-based),11280.0,usa,12000,12000
P0250,china,southeast_asia,ship,3842.0,ship,Suggested lower-carbon mode (rule-based),3842.0,singapore,2500,2500
